"","stock","size_change","SaA_change","age_change"
"1","Egegik",-32.38,-17.65,-14.73
"2","Igushik",-17.32,-14.26,-3.06
"3","Kvichak",-10.77,-15.67,4.9
"4","Naknek",-25.65,-17.19,-8.46
"5","Nushagak",-11.09,-15.96,4.87
"6","Ugashik",-20.97,-14.47,-6.5
"7","Wood",-37.7,-21.05,-16.65
