"","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood","year"
"1",-0.580712296051047,-2.32882745464701,1.06461594458108,-2.62380340845607,-2.7591005283341,-0.582093407729985,-4.06124814452403,1963
"2",0,-4.22093267772595,0,-5.71033266427798,-6.17400174194597,-12.505159609473,-15.014143955184,1964
"3",-12.244740596771,-5.39011027729703,-8.60970794763801,-6.99866544225699,-6.69302434449696,-16.144289276004,-7.64210400067395,1965
"4",-2.20698186204402,-2.82101894796995,-5.43436677906595,-12.082238786875,-3.95257070253297,-3.81195717421406,-11.24898909158,1966
"5",-8.46675343620495,-4.08384215787396,-3.43975278141102,-14.4054801306349,-13.454169419586,-5.07710498958602,-10.953571318601,1967
"6",-4.99334991482806,-3.63238318640003,-4.17215728477396,-5.68869100769496,-7.02122638497394,-5.69550980423105,-12.765010556774,1968
"7",-4.89277502857408,-0.33844586568398,-3.90854574573893,-9.72636743440796,-9.40254859465699,-6.19818611575397,-9.22855752724001,1969
"8",-11.56653971788,-2.93065238333702,-9.63663343359099,-24.5924295618639,-6.36098189358393,-1.59116663896503,-12.3771145196321,1970
"9",-1.55901435719102,-3.99959104506604,-3.68181046880102,-7.51695891651298,-8.15743019691797,-2.26391315422609,-13.714662855849,1971
"10",-14.5626421147699,-3.70492107757104,-0.670890687829001,-7.23746298468006,-8.18348069761294,-1.14571569558098,-9.79431266227397,1972
"11",-1.04559811067702,0.307628056129943,-1.57663238185899,-1.56086622424493,-2.08635604407596,0,-7.46119056809789,1973
"12",0.0730728185999396,-0.138081694581956,-1.01554119104298,-3.80338893962005,0.220775029564038,0,-0.94395057105703,1974
"13",-4.83492184306897,0.130466584917031,-2.76034595271602,-8.21447572675606,-2.72109644131001,-0.559196550755019,-3.440943309609,1975
"14",0,-2.724257690071,2.51690128872201,-3.354855608962,-4.302211730463,0,-9.54955962812198,1976
"15",-7.07606974763496,0.218719196634993,0,0,-6.02804442552599,-6.75766565951301,-4.17358460366302,1977
"16",-7.63584341760998,-1.17863925930499,-15.269963987409,-18.3173396277359,2.64613072200598,-1.99651680877196,-10.225527175666,1978
"17",-5.462584580108,1.739120958679,-9.87449708149097,-26.639752454964,-0.511222256674046,-1.00483875662997,-4.22492769558403,1979
"18",-11.504886246659,0.326494777046946,-4.14877968631095,-12.002511994326,0.664057180220993,-2.12858924868601,-9.73324204412597,1980
"19",4.30958675858108,0.179785690290032,-0.701008729161003,-3.49013777122605,1.45237406151693,5.240353146762,-10.171654907106,1981
"20",-5.01528705904798,0.709199608996983,-4.57085008096294,-6.25939335556404,5.97006227368092,-0.996960136722009,-16.139161423128,1982
"21",-6.1947889385001,-1.37826819527004,-14.59946185622,-22.197625390417,-9.42946818890698,-1.90228895065297,-12.48863123176,1983
"22",-18.097188754975,3.64399549251402,-11.220369548221,-24.9099015951221,-4.49316815984605,-17.388036301975,-12.533114600507,1984
"23",-18.081373924955,-3.87353009441892,1.28795932044204,-10.630370725385,-9.02069950924295,-15.411813119542,-7.52067527971894,1985
"24",-10.816160286736,1.51367212226592,3.38142331203301,-1.82899737915898,-9.69582594022199,-8.46628691205092,-9.31929286653406,1986
"25",-5.09587469861901,-7.95879513453099,-0.469832484379026,-4.28399923665199,-18.65126836864,-6.952035974718,-27.1987937638349,1987
"26",-14.414285961414,0.854863699604039,-1.04545913950403,-9.9776904815119,-8.09363288500197,-13.379948803222,-7.65792928145197,1988
"27",-3.20955364749204,3.54308725368105,-1.40557505306197,-13.0667866970169,-2.47079361282204,-8.52716712588597,-1.26042249443799,1989
"28",-22.459696930115,-0.0563234568769531,-9.44975191112997,-22.227598036334,-4.12166606239498,-10.215485522548,-11.4312250183771,1990
"29",-9.09242755392904,4.45538342033694,-4.89738699286801,-4.12892355936208,1.45453850862202,-9.04361193608406,0.859160872927987,1991
"30",-17.9537183382141,0.82943306839104,-2.40335103266,-8.84501067879398,-7.80122462998895,-8.24171817295701,-13.924686338578,1992
"31",-3.26488074986901,1.03651263972404,2.86053306607107,-3.77635017664397,6.59877739286492,1.48472154305898,-10.432956010077,1993
"32",-30.731834343603,-1.579624504447,-8.14199352191804,-29.038578869524,-3.955257776341,-21.730009543989,-20.208732559562,1994
"33",-15.4217623784331,1.20561184241001,-3.02278489494699,-11.5948870489871,-9.80367432218304,-11.4021227760211,-9.38671578846999,1995
"34",-3.68619649085099,3.28163711172601,1.31452051378801,3.51104747612499,3.74044422537895,-7.59377834106397,-10.350273039003,1996
"35",-17.235444347056,-0.0404114979990027,2.94380145207003,-3.45353872706607,0.513820127394069,-24.893563029146,-2.45665787902396,1997
"36",-18.971383949112,-0.70687818175702,-2.85616782488091,-14.575530545754,0.563813611792966,-10.775251087323,-2.182403639938,1998
"37",-17.640407056089,0.717893288027994,-8.10757555757698,-23.316773800816,-2.02175176091691,-11.204262359529,-3.16365776341502,1999
"38",1.18555327714603,2.52834936812189,4.08506298066698,0.19126484129697,-2.007677566898,2.58605121904998,-1.69610911774407,2000
"39",3.33363400520409,5.30981571586005,7.56974085986701,1.63737969820397,8.40964824838306,2.74958095598004,10.4357941896379,2001
"40",0.666367330593971,4.30734358225391,2.051294603673,-0.458717325985049,2.47029263023001,-0.215047512298952,0.760281299360997,2002
"41",-17.1063262496521,-2.51359676524305,0.492590294151,-0.442627314870947,-4.68412979221796,-10.466921891,-16.7434021272941,2003
"42",-14.5052054908,-0.108593757271933,-0.585173533441093,-6.831873966996,-3.53112565110996,-19.798547731859,-20.25571806256,2004
"43",-0.136894469642016,0.310739072651927,1.123409692986,0.531700280085033,-0.872981448433052,2.30731686118509,-13.988641825723,2005
"44",-30.34170985194,-5.167471182805,-1.78377000698902,-4.74057618250697,-13.518194797404,-24.544660207393,-29.255457090325,2006
"45",-13.965899167919,-0.224307649212051,5.35980062246699,-2.32145123560099,-2.09290213815598,-6.01606344735706,-13.560725998807,2007
"46",-16.452196546959,3.28668432292397,-2.47841565937898,-5.150286153514,13.949481686045,-4.12952423027093,-11.650226006832,2008
"47",-20.785953687283,-5.23154835805099,1.83295111793302,-26.644792485939,0.761884952481068,-8.44822861950308,-31.905817588518,2009
"48",-23.201466817887,0.68360542778305,0.778075547512003,-18.051944486388,2.55722958340402,-21.032972526123,-7.35187426154596,2010
"49",0.66580077075605,3.10049917156994,5.59242499974198,-16.263623256785,9.31464435253599,-4.85507244330802,-0.129627672680954,2011
"50",-20.096061211013,3.65382584340796,-0.901280557498012,-15.5242883367949,6.53126199644601,-8.97470910764707,-3.79358804378694,2012
"51",-17.6371036407969,3.43936370490201,1.37930474023005,-13.5078456928439,5.22827359416203,0.468484883737005,-12.989062714884,2013
"52",-34.562724589602,6.65487495319303,-2.19497050297201,-27.748428773871,3.09593992391706,-16.188715819238,-14.451996651005,2014
"53",-35.715808673245,1.84121591503003,-4.41624349814003,-25.066991950491,0.735524883485937,-28.951705846085,-13.159831411781,2015
"54",-40.453700333088,4.57817947332899,-1.44747104479899,-24.195781973002,-7.92358043852698,-21.104567144478,-39.681149678105,2016
"55",-7.63796788023603,0.166907733544008,4.120559346493,-17.9486863647051,1.12534158813799,-9.816046748703,-12.393788050367,2017
"56",-35.4285423798659,2.540236012126,-1.60769261648403,-8.50923378342702,-4.4876144420839,-9.485338290389,-12.167198534276,2018
"57",-30.179978294671,-0.339285176505086,1.38651471671204,-17.585329609214,-4.23229988853097,-12.0006119782049,-31.923561844811,2019
"58",-38.564801028909,-4.82492265736096,0.342492527107993,-12.563144570479,-15.120004680082,-34.292463530683,-19.036529569659,2020
