"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1960,-4.46827099478023,-11.4966390612902,-15.710186276363,-2.04148220638104,-4.56145060720473,-7.01298988453139,7.32998628917756
"2",1961,9.08283724223625,-8.21377604463298,6.43674352949038,2.98521474054735,11.3402586796524,0.478838559827197,-0.53245623827402
"3",1962,15.8034410618361,3.1719747866261,20.2904701452911,11.5393905660668,-13.7230734542954,7.53792767240998,4.86988293205734
"4",1963,14.7855274280657,6.63978964458467,11.5804445904542,10.5099325977781,-8.38584615959533,12.4962178837727,16.0226538097836
"5",1964,9.750154159598,13.1738975251141,3.57791668748334,9.60679568219494,5.75219992666543,3.71690388463899,11.0428241462028
"6",1965,-11.1518634980589,1.89419813705887,-2.10858486498583,1.10059796305225,0.187567644743564,-10.4369693377252,4.0736904474494
"7",1966,5.22476151821747,0.341356709236548,11.8186987594717,6.69382170854399,8.98550261357463,3.63569459954765,3.99081940680208
"8",1967,9.99796105706507,-0.368709859446952,16.3783834655258,11.7080583462415,2.68693594268307,14.4675199116515,9.58615066067609
"9",1968,22.3269998097707,13.2764322504122,4.29117198150903,8.59655253530326,21.8962908803633,16.8340511048149,9.41989547373891
"10",1969,15.4543158870565,1.93154587497711,5.52028872533547,-2.85502790153778,-1.69279144578799,15.3077983139125,4.32804640055943
"11",1970,8.40196087102246,11.20493839521,-2.34776323640109,1.03567003006908,3.93262680825876,9.41396477089399,19.5426190735558
"12",1971,30.2328170731709,19.7833468361258,6.10417344054451,5.07289681617824,20.3145846036284,15.0664721815542,19.1408963878548
"13",1972,25.3421050776986,24.6809360651275,10.7041674581856,12.8562297340795,21.0858994937278,15.3969106202112,27.4343391732418
"14",1973,15.0851387247301,19.4218354405482,1.46804018301045,8.42985995432236,25.6988991620183,15.9495829070091,21.0759537387271
"15",1974,12.9234837013959,17.2627027761704,17.3550781094877,8.55148117428249,15.2494199541851,16.9525877264746,17.006477848132
"16",1975,3.01450116435069,10.7019772335388,3.91036496812496,3.29157401243047,7.86800352854563,11.2128798841355,8.10251497517441
"17",1976,16.2005685706563,11.2318074714022,7.49480096882985,16.1292596345006,15.2175141539281,11.8730453251551,12.545960673693
"18",1977,15.7980179435398,14.3698935642528,14.2987549744506,14.7046551705209,14.1346181713712,17.7375222849679,15.3321253421629
"19",1978,17.7438887802137,5.85869525215034,6.90767376345715,6.3542302104267,5.83184031672278,11.2002161682828,7.19535067247938
"20",1979,7.800862251048,11.2995782662004,7.13649215163294,8.90848955633604,7.64253726380224,5.76373353703963,11.057251278109
"21",1980,8.49384462247944,5.14784212590798,3.44212073350158,0.34164283895353,3.04557862802365,4.29109025619888,5.43061569670108
"22",1981,15.9095488936762,7.03906296503262,14.4861313625434,9.43195743265392,1.27639453283257,13.4888859083109,4.03115385316774
"23",1982,14.753219418011,15.3470001801702,8.06885144736233,7.77320942682593,5.45812302792162,13.6671673334141,11.69244728233
"24",1983,13.5085914215722,11.1536639313055,10.7811789620447,11.6005914948665,6.14392978142083,12.0767331511654,9.43617553340839
