"","stock","size_change","SaA_change","age_change"
"1","Egegik",-31.86,-20.54,-11.32
"2","Igushik",-23.2,-15.52,-7.68
"3","Kvichak",-9.28,-14.96,5.68
"4","Naknek",-28.5,-16.59,-11.91
"5","Nushagak",-0.78,-13.08,12.3
"6","Ugashik",-16.73,-15.95,-0.780000000000001
"7","Wood",-36.15,-19.65,-16.5
