"","sel_diff","year"
"1",-1.65935053769306,1963
"2",-13.188252943597,1964
"3",-9.78616288237703,1965
"4",-7.5412613440451,1966
"5",-7.21977330462801,1967
"6",-8.040579150653,1968
"7",-5.11324812677697,1969
"8",-9.69355253640902,1970
"9",-6.18219524238509,1971
"10",-6.93249659172409,1972
"11",-3.29657436293894,1973
"12",-1.19295264673804,1974
"13",-4.90008000765602,1975
"14",-2.19815975134497,1976
"15",-7.75520360542703,1977
"16",-12.2819849710271,1978
"17",-8.16434025412605,1979
"18",-3.66258886030403,1980
"19",0.117435467304972,1981
"20",-4.38759541970899,1982
"21",-12.789823434651,1983
"22",-14.092190320883,1984
"23",-7.11732293069701,1985
"24",-5.42616534556396,1986
"25",-11.795202376999,1987
"26",-7.809645496695,1988
"27",-5.61694607506593,1989
"28",-15.267731352111,1990
"29",-5.25362707516604,1991
"30",-9.29399767044094,1992
"31",-2.95919906881693,1993
"32",-17.537499083655,1994
"33",-7.71837914269906,1995
"34",-4.76748864638398,1996
"35",-6.90738761858597,1997
"36",-9.80605957068997,1998
"37",-9.84341776751,1999
"38",0.283110157017973,2000
"39",5.91238896232596,2001
"40",-2.62192707291695,2002
"41",-6.78666793886202,2003
"42",-8.52181887230802,2004
"43",0.727300117498089,2005
"44",-18.475409980989,2006
"45",-4.76070641135209,2007
"46",-5.72693233217694,2008
"47",-11.420411471075,2009
"48",-7.1586828599801,2010
"49",1.15381598847398,2011
"50",-5.14504071206295,2012
"51",-4.1940408010629,2013
"52",-10.89503824509,2014
"53",-12.114614050451,2015
"54",-14.990898689721,2016
"55",-7.71897399271097,2017
"56",-11.281398488108,2018
"57",-14.289287362462,2019
"58",-15.60606564179,2020
