"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1963,13.4781459686165,18.1622354516873,11.154263468179,12.3660282809724,17.922847902386,12.4331270108282,20.6752144866371
"2",1964,8.81421224578979,15.1247276293094,-2.87840973660588,2.7767414322696,11.4293757754594,6.05257301237253,21.8761858584442
"3",1965,-4.04016220368796,3.53495791124655,-9.29811440829893,-4.65065822292386,6.00415044812603,-3.8399496746929,2.69005293343524
"4",1966,4.22089958057957,6.26715156022213,5.9700433265559,7.95208820705852,0.850248064366958,4.48964825877077,5.89639082674242
"5",1967,17.0109277930004,17.8384762117926,21.9379314426908,18.0736557112591,3.19865081221854,15.7075315825854,18.0011670012584
"6",1968,17.2943394435901,25.7299498429048,9.51444719852447,12.7394382503948,14.6945617826243,10.0947479931792,25.6201001129572
"7",1969,16.1481307409243,20.3637767688646,11.4024070753892,14.4335024334347,20.9881313572846,10.1069788256578,21.1898394883961
"8",1970,-5.80861888867254,6.96227720611969,-0.475169999699771,0.879262989690691,10.3300362106617,-9.0453095870496,10.1554467138915
"9",1971,10.6670051984352,15.8581038981829,12.2088606682241,12.169109335714,19.0058662293083,12.095806463933,15.7091118711206
"10",1972,15.6333281107604,10.8801570373487,10.794870674164,11.5326678910209,13.0749429952493,11.8253513822328,11.5777501765052
"11",1973,26.0219551365421,32.7792750201348,18.7057501465632,18.9168233952315,38.3804491277074,NA,31.2866296700668
"12",1974,15.3224885227582,5.18692891500393,11.2481580602369,11.149291074387,15.6966110632268,NA,20.2153174760357
"13",1975,12.7352760055074,15.2640771227056,10.0618658417814,9.03838136629642,6.93929088202105,9.073783908968,17.8666483531233
"14",1976,NA,24.0906714962491,-3.36319233946207,-3.50624021873897,26.3959492050804,NA,27.2139302402674
"15",1977,28.6503076642949,35.3063765010758,NA,NA,36.1338500287152,22.4486147433216,35.7885249462024
"16",1978,24.8868502267398,23.9187922341305,16.7580849352085,17.9580321581668,26.3839401773993,8.53725634251042,24.605372821964
"17",1979,15.2800304683197,16.3165802216667,24.097505437003,16.6277283151719,14.1920554434614,20.4094163975516,18.0842101977373
"18",1980,5.27253064084754,7.68876619471196,2.81137409250889,6.26002002875608,7.48159691388082,3.26609619428559,9.54774065438669
"19",1981,15.4784523904433,16.4484800180534,17.9573618407449,17.313992296431,19.5113201000307,15.4780975940085,17.6410357089483
"20",1982,20.300089593765,13.8262879957416,12.6481567858173,14.140042224417,13.8421230596318,16.2821568387439,13.0381306992529
"21",1983,18.8429952009385,11.8451766930797,13.4435187902112,11.8822963650349,10.1626810344636,11.4839493781334,16.5589708800125
"22",1984,7.29270400271425,9.02141087974762,4.28129847683284,4.2592551935516,9.48050523288071,-2.00946578499354,8.19142901948605
"23",1985,15.215233582672,11.1683849098874,3.57494986837881,3.17625401388561,12.3759078863312,7.2132716979223,11.2860051436252
"24",1986,15.4921612571713,9.48109025104811,8.99473201900762,9.53412330545001,8.53572353300025,12.8544565263446,8.43636519523844
"25",1987,14.9325090134605,14.7120667006448,4.08252716840204,9.53050606693214,15.6912540379411,11.9142842162526,15.9017547061317
"26",1988,16.7046468013678,14.8637979973592,15.0680900283786,13.880595462204,13.3670821621909,13.8151164608454,13.1799909291947
"27",1989,9.80803728291824,8.09563030131716,0.0499882332605327,2.87808224566638,7.43507644753251,5.41024327323021,9.00768306290137
"28",1990,-1.97886942983966,1.55586197083052,-7.10632154898224,-1.80880210234379,-0.90475042841547,-4.86617603134013,-1.28113002809057
"29",1991,-5.14876098168344,-5.60819735136582,-6.34326355392855,-2.49204796483702,-6.99180540416427,-8.34226386778862,-8.29175510142115
"30",1992,-9.18041604714042,-10.8367589810311,-4.66753393879494,-9.32610987935834,-12.4223744858194,-7.96243390057072,-4.38092751991245
"31",1993,4.3144419763777,5.29233741223963,7.07100357286906,4.95514175484313,2.97258455226437,2.49667003712077,7.58866278357629
"32",1994,-5.91259962071324,-0.289688545375877,-5.40516951748316,-6.64947183212067,-2.25529806830214,-13.042630857784,-1.83083106146396
"33",1995,1.45479055878274,-5.32925176934103,-1.3059210974043,1.72074676001056,-5.40891216174728,3.97788606168068,-1.76373940174045
"34",1996,7.7391135115682,2.99508590920459,9.40938276324964,11.9619487651434,2.66281178052735,13.4951735196205,2.61762441498819
"35",1997,3.20674213935546,1.18736577632578,1.54977665090405,8.21473536366414,3.1332245717445,11.7320366770478,2.24811163317245
"36",1998,-0.582188949189193,-9.22598108073849,2.04068920962802,2.56906415705665,-5.92079918158922,2.14941588536994,-7.25781177028597
"37",1999,9.62103373642508,-2.71029488102985,11.3089808540898,14.21946217392,3.8405275256936,6.41787057960928,-1.92135754506577
"38",2000,0.324991556146855,7.42207879524907,-1.12122048848992,-1.59545853286004,7.70064922992933,-1.71553310158206,7.32777481010067
"39",2001,9.86516394064468,14.2790599081927,11.842499790179,13.0242656803684,14.2682795806751,3.79207677718074,9.98231949212096
"40",2002,4.40642022053727,-4.5835735999953,-10.4236039287787,-2.37349019098021,0.426250406842809,4.09326368171652,-2.24482511611572
"41",2003,15.0337320810325,20.2079686590017,2.47929348482193,11.0114512685375,21.6899466433069,8.78028885734608,16.7601462894439
"42",2004,3.2503698857084,3.55054077981499,6.33606285455974,11.2012773465075,11.0724658045382,17.1772013271966,4.98363551759978
"43",2005,4.52972552275161,5.32747478999914,0.894288277539935,0.846237482074226,7.15685321632373,1.2453759887189,2.48580378556315
"44",2006,2.621472422918,-4.32858309305926,-4.41516752428997,-2.63246939293295,-1.60879647431952,-0.184452040762849,-6.5184331678108
"45",2007,0.0700824487797895,1.5760776134507,-9.16598578201263,-6.25776820047348,4.77106720000138,-3.84630685209844,4.44646055169939
"46",2008,-7.02975235457562,-18.5355478412251,-8.88912030563561,-9.74861853569834,-19.352610376126,-7.55067764806505,-15.7303799469444
"47",2009,-5.14803422709991,12.8403244916585,-1.98599465522953,-2.88625140377937,13.1068710176373,-5.63259574361393,12.8238362712261
"48",2010,-16.2796661864815,-2.86843930030257,-11.9430817004239,-9.48166233234682,-2.82886627302992,-9.17227306759336,-6.88058008497777
"49",2011,-9.67683709312926,-0.464490936766489,-5.59526571191228,-5.25912922418449,3.63219367332451,-7.12313205155419,-3.41887652175579
"50",2012,-8.157102284358,-9.27858415341923,-7.3520542577372,-7.08168357182998,-8.05795559220778,-13.8584861359749,-9.65892881443754
"51",2013,-6.63533919687009,-3.43953369184728,-4.00754244723978,-2.77460473489455,-1.00111204303837,-8.58959786169872,-4.49813578872991
"52",2014,-10.9276051294493,-6.46938748677227,-7.80957207952247,-5.14593473245725,-3.76382874392775,-10.5392396056741,-5.65955187335199
"53",2015,-23.5679736877067,-21.557891758783,-11.1124673052047,-10.5378949146825,-18.9539342414668,-15.1983229848746,-22.4329328025995
"54",2016,-10.597192866624,-13.6913397693467,-9.9245442642487,-6.99701878702489,-13.072689809046,-11.6015532154247,-12.6964511401368
"55",2017,-2.35705308393656,1.86993457133182,-6.02996764227836,-3.33109304677305,-1.16667098108507,-3.07859078685905,5.98178470889672
"56",2018,-9.10171733376606,-18.0880778345328,-16.36556812288,-13.2302022269786,-17.0078521173081,-13.6294141798818,-15.5555177429236
"57",2019,-11.4718820361312,-14.9684423677953,-17.1455618694793,-12.8576212007212,-14.8998541447969,-8.24299514469499,-12.2272593465539
"58",2020,-24.8113153636362,-21.3236097572671,-25.003836336407,-25.4252686946128,-19.817483419089,-17.9671908963593,-17.6629206083709
