"","stock","size_change","SaA_change","age_change"
"1","Egegik",-59.63,-16.27,-43.36
"2","Igushik",-13.12,-9.96,-3.16
"3","Kvichak",-7.01,-11.54,4.53
"4","Naknek",-33.45,-18.83,-14.62
"5","Nushagak",-10.61,-11.33,0.720000000000001
"6","Ugashik",-30.69,-12.41,-18.28
"7","Wood",-50.96,-24.95,-26.01
